Date,Numero,Type,Statut,TotalTTC
2026-01-07T00:00:00.000Z,2/2026,FACTURE,VALIDEE,1250
2024-04-19T00:00:00.000Z,14335,BON_COMMANDE,VALIDEE,600
2024-04-08T00:00:00.000Z,14292,BON_COMMANDE,PAYEE,100
2024-02-24T00:00:00.000Z,43/2024,FACTURE,VALIDEE,1750
2024-02-15T00:00:00.000Z,14112,BON_COMMANDE,PAYEE,100
2024-02-14T00:00:00.000Z,34/2024,FACTURE,PAYEE,500
2024-01-25T00:00:00.000Z,14026,BON_COMMANDE,PAYEE,750
2023-12-29T00:00:00.000Z,13950,BON_COMMANDE,PAYEE,800
2023-12-22T00:00:00.000Z,13926,BON_COMMANDE,PAYEE,100
2023-12-15T00:00:00.000Z,13898,BON_COMMANDE,PAYEE,1100
2023-12-05T00:00:00.000Z,13847,BON_COMMANDE,PAYEE,700
2023-11-30T00:00:00.000Z,13828,BON_COMMANDE,PAYEE,100
2023-10-23T00:00:00.000Z,13689,BON_COMMANDE,PAYEE,150
2023-07-25T00:00:00.000Z,13338,BON_COMMANDE,PAYEE,350
2024-04-23T00:00:00.000Z,79/2024,FACTURE,VALIDEE,1650
2018-05-10T00:00:00.000Z,7016,BON_COMMANDE,PAYEE,400
2024-04-25T00:00:00.000Z,14363,BON_COMMANDE,PAYEE,2200
2024-04-12T00:00:00.000Z,73/2024,FACTURE,VALIDEE,500
2024-04-01T00:00:00.000Z,14269,BON_COMMANDE,PAYEE,550
2024-02-07T00:00:00.000Z,14079,BON_COMMANDE,PAYEE,350
2024-01-08T00:00:00.000Z,13980,BON_COMMANDE,PAYEE,400
2023-12-15T00:00:00.000Z,13894,BON_COMMANDE,PAYEE,700
2023-07-24T00:00:00.000Z,13331,BON_COMMANDE,PAYEE,300
2023-07-27T00:00:00.000Z,124/2023,FACTURE,PAYEE,1800
2023-05-23T00:00:00.000Z,13128,BON_COMMANDE,PAYEE,200.0400009156
2023-04-07T00:00:00.000Z,12960,BON_COMMANDE,PAYEE,300
2023-03-29T00:00:00.000Z,12924,BON_COMMANDE,PAYEE,100
2023-02-20T00:00:00.000Z,12808,BON_COMMANDE,PAYEE,50
2024-04-27T00:00:00.000Z,14373,BON_COMMANDE,PAYEE,150
2024-04-18T00:00:00.000Z,14330,BON_COMMANDE,PAYEE,50
2024-03-09T00:00:00.000Z,51/2024,FACTURE,PAYEE,350
2024-03-15T00:00:00.000Z,14219,BON_COMMANDE,VALIDEE,300
2024-03-01T00:00:00.000Z,46/2024,FACTURE,VALIDEE,3500
2024-02-10T00:00:00.000Z,14095,BON_COMMANDE,PAYEE,350
2024-01-20T00:00:00.000Z,14015,BON_COMMANDE,PAYEE,50
2023-12-13T00:00:00.000Z,231/2023,FACTURE,VALIDEE,4800
2023-12-01T00:00:00.000Z,13834,BON_COMMANDE,PAYEE,100
2023-10-27T00:00:00.000Z,13707,BON_COMMANDE,PAYEE,300
2023-09-27T00:00:00.000Z,168/2023,FACTURE,VALIDEE,800
2023-09-15T00:00:00.000Z,13542,BON_COMMANDE,PAYEE,4000
2023-08-16T00:00:00.000Z,135/2023,FACTURE,PAYEE,3200
2023-07-25T00:00:00.000Z,13339,BON_COMMANDE,PAYEE,400
2024-04-18T00:00:00.000Z,14331,BON_COMMANDE,PAYEE,150
2024-04-19T00:00:00.000Z,14332,BON_COMMANDE,PAYEE,300
2018-08-15T00:00:00.000Z,152/2018,FACTURE,PAYEE,5000
2024-03-26T00:00:00.000Z,14253,BON_COMMANDE,PAYEE,700
2017-12-05T00:00:00.000Z,264/2017,FACTURE,VALIDEE,1800
2024-03-29T00:00:00.000Z,14264,BON_COMMANDE,PAYEE,100
2024-03-13T00:00:00.000Z,14212,BON_COMMANDE,PAYEE,500
2024-03-06T00:00:00.000Z,14189,BON_COMMANDE,VALIDEE,350
2024-01-17T00:00:00.000Z,14004,BON_COMMANDE,PAYEE,500
2023-12-14T00:00:00.000Z,13887,BON_COMMANDE,PAYEE,650
2023-12-12T00:00:00.000Z,13878,BON_COMMANDE,PAYEE,250
2023-12-01T00:00:00.000Z,13831,BON_COMMANDE,PAYEE,150
2023-10-19T00:00:00.000Z,13670,BON_COMMANDE,PAYEE,200.0400009156
2023-08-22T00:00:00.000Z,13442,BON_COMMANDE,PAYEE,250
2018-04-18T00:00:00.000Z,6956,BON_COMMANDE,PAYEE,400
2024-04-29T00:00:00.000Z,14374,BON_COMMANDE,PAYEE,50
2024-04-25T00:00:00.000Z,81/2024,FACTURE,PAYEE,5100
2024-04-09T00:00:00.000Z,14304,BON_COMMANDE,PAYEE,100
2024-04-06T00:00:00.000Z,14289,BON_COMMANDE,VALIDEE,1100
2024-02-29T00:00:00.000Z,14169,BON_COMMANDE,PAYEE,1300
2024-02-15T00:00:00.000Z,14109,BON_COMMANDE,PAYEE,200
2024-02-06T00:00:00.000Z,29/2024,FACTURE,PAYEE,300
2023-11-13T00:00:00.000Z,13748,BON_COMMANDE,PAYEE,240
2023-11-07T00:00:00.000Z,13736,BON_COMMANDE,VALIDEE,400.0200119019
2023-10-04T00:00:00.000Z,13608,BON_COMMANDE,PAYEE,100
2023-07-22T00:00:00.000Z,13329,BON_COMMANDE,PAYEE,300
2023-05-03T00:00:00.000Z,13054,BON_COMMANDE,PAYEE,100
2024-04-25T00:00:00.000Z,14362,BON_COMMANDE,PAYEE,1100
2024-04-20T00:00:00.000Z,14342,BON_COMMANDE,PAYEE,100
2024-02-14T00:00:00.000Z,14105,BON_COMMANDE,PAYEE,100
2024-02-06T00:00:00.000Z,28/2024,FACTURE,PAYEE,700
2023-12-28T00:00:00.000Z,13944,BON_COMMANDE,PAYEE,100
2023-11-27T00:00:00.000Z,13808,BON_COMMANDE,PAYEE,300
2023-11-23T00:00:00.000Z,207/2023,FACTURE,PAYEE,1800
2023-10-23T00:00:00.000Z,13684,BON_COMMANDE,PAYEE,600
2023-10-21T00:00:00.000Z,187/2023,FACTURE,PAYEE,900
2018-04-02T00:00:00.000Z,6900,BON_COMMANDE,PAYEE,150
2023-07-25T00:00:00.000Z,123/2023,FACTURE,VALIDEE,450
2023-06-24T00:00:00.000Z,13245,BON_COMMANDE,PAYEE,350
2023-05-09T00:00:00.000Z,71/2023,FACTURE,VALIDEE,1300
2023-03-10T00:00:00.000Z,12865,BON_COMMANDE,PAYEE,100
2023-11-21T00:00:00.000Z,13783,BON_COMMANDE,VALIDEE,0
2023-10-26T00:00:00.000Z,13704,BON_COMMANDE,PAYEE,300
2023-08-05T00:00:00.000Z,129/2023,FACTURE,VALIDEE,3500
2023-05-25T00:00:00.000Z,13135,BON_COMMANDE,PAYEE,350
2024-04-17T00:00:00.000Z,14326,BON_COMMANDE,PAYEE,600
2024-04-04T00:00:00.000Z,14282,BON_COMMANDE,PAYEE,100
2024-03-25T00:00:00.000Z,67/2024,FACTURE,PAYEE,1100
2024-02-26T00:00:00.000Z,14161,BON_COMMANDE,PAYEE,50
2024-02-27T00:00:00.000Z,45/2024,FACTURE,PAYEE,600
2024-02-29T00:00:00.000Z,14171,BON_COMMANDE,PAYEE,200
2024-02-19T00:00:00.000Z,14125,BON_COMMANDE,PAYEE,150
2024-02-07T00:00:00.000Z,14081,BON_COMMANDE,PAYEE,600
2024-01-22T00:00:00.000Z,18/2024,FACTURE,VALIDEE,2500
2023-12-27T00:00:00.000Z,13937,BON_COMMANDE,PAYEE,250
2023-05-03T00:00:00.000Z,13052,BON_COMMANDE,PAYEE,1100
2023-10-02T00:00:00.000Z,13598,BON_COMMANDE,PAYEE,200
2024-04-23T00:00:00.000Z,14354,BON_COMMANDE,PAYEE,50
2023-10-02T00:00:00.000Z,13595,BON_COMMANDE,PAYEE,150
2024-04-25T00:00:00.000Z,14361,BON_COMMANDE,PAYEE,350
2024-04-09T00:00:00.000Z,70/2024,FACTURE,PAYEE,2600
2024-04-01T00:00:00.000Z,14271,BON_COMMANDE,PAYEE,50
2024-03-18T00:00:00.000Z,14235,BON_COMMANDE,PAYEE,1100
2024-02-05T00:00:00.000Z,14061,BON_COMMANDE,PAYEE,250
2024-01-09T00:00:00.000Z,11/2024,FACTURE,VALIDEE,1700
2023-12-08T00:00:00.000Z,13865,BON_COMMANDE,PAYEE,50
2023-12-08T00:00:00.000Z,222/2023,FACTURE,PAYEE,700
2023-11-22T00:00:00.000Z,13790,BON_COMMANDE,PAYEE,1900
2023-11-17T00:00:00.000Z,13776,BON_COMMANDE,PAYEE,100
2023-10-24T00:00:00.000Z,13690,BON_COMMANDE,PAYEE,100
2024-04-26T00:00:00.000Z,14370,BON_COMMANDE,PAYEE,50
2024-04-20T00:00:00.000Z,14343,BON_COMMANDE,PAYEE,50
2024-04-18T00:00:00.000Z,14327,BON_COMMANDE,PAYEE,350
2024-04-09T00:00:00.000Z,14300,BON_COMMANDE,PAYEE,50
2024-02-05T00:00:00.000Z,26/2024,FACTURE,VALIDEE,2700
2024-01-31T00:00:00.000Z,14039,BON_COMMANDE,PAYEE,850
2023-12-30T00:00:00.000Z,13954,BON_COMMANDE,PAYEE,100
2023-10-25T00:00:00.000Z,13693,BON_COMMANDE,VALIDEE,300
2023-10-16T00:00:00.000Z,183/2023,FACTURE,PAYEE,1400
2018-04-11T00:00:00.000Z,70/2018,FACTURE,VALIDEE,1000
2023-07-29T00:00:00.000Z,13355,BON_COMMANDE,PAYEE,700
2023-06-22T00:00:00.000Z,13233,BON_COMMANDE,PAYEE,500
2023-05-20T00:00:00.000Z,83/2023,FACTURE,PAYEE,1100
2023-05-03T00:00:00.000Z,13055,BON_COMMANDE,PAYEE,350
2023-04-20T00:00:00.000Z,13007,BON_COMMANDE,PAYEE,250
2024-04-18T00:00:00.000Z,14328,BON_COMMANDE,VALIDEE,1100
2024-04-02T00:00:00.000Z,14273,BON_COMMANDE,PAYEE,50
2024-03-15T00:00:00.000Z,14223,BON_COMMANDE,PAYEE,100
2024-02-22T00:00:00.000Z,41/2024,FACTURE,PAYEE,400
2023-12-13T00:00:00.000Z,232/2023,FACTURE,PAYEE,700
2023-11-27T00:00:00.000Z,13803,BON_COMMANDE,PAYEE,1400
2023-11-22T00:00:00.000Z,206/2023,FACTURE,VALIDEE,1150
2023-10-17T00:00:00.000Z,13659,BON_COMMANDE,PAYEE,400.0200119019
2023-10-11T00:00:00.000Z,13636,BON_COMMANDE,VALIDEE,200
2023-10-09T00:00:00.000Z,13627,BON_COMMANDE,PAYEE,1600
2023-10-02T00:00:00.000Z,170/2023,FACTURE,VALIDEE,1800
2023-09-04T00:00:00.000Z,13498,BON_COMMANDE,PAYEE,200
2018-04-02T00:00:00.000Z,64/2018,FACTURE,VALIDEE,1600
2017-09-04T00:00:00.000Z,6144,BON_COMMANDE,PAYEE,200.04
2024-04-17T00:00:00.000Z,14324,BON_COMMANDE,PAYEE,150
2024-04-20T00:00:00.000Z,14338,BON_COMMANDE,PAYEE,502
2024-03-26T00:00:00.000Z,14255,BON_COMMANDE,PAYEE,100
2024-02-02T00:00:00.000Z,14052,BON_COMMANDE,PAYEE,150
2023-10-23T00:00:00.000Z,13683,BON_COMMANDE,PAYEE,700
2023-09-30T00:00:00.000Z,13590,BON_COMMANDE,PAYEE,100
2023-09-25T00:00:00.000Z,165/2023,FACTURE,VALIDEE,700
2023-08-30T00:00:00.000Z,146/2023,FACTURE,VALIDEE,2800
